시도명,시군구명,위도,경도
서울특별시,은평구,37.608155,126.921463
서울특별시,은평구,37.58321448,126.8939923
서울특별시,은평구,37.60091568,126.9319959
서울특별시,은평구,37.63199016,126.925787
서울특별시,은평구,37.61209401,126.9200674
서울특별시,은평구,37.60326588,126.927312
서울특별시,은평구,37.59218566,126.9067785
서울특별시,은평구,37.61960504,126.9140179
서울특별시,은평구,37.62238207,126.9310756
서울특별시,은평구,37.60292818,126.9112576
서울특별시,은평구,37.61861937,126.9164484
서울특별시,은평구,37.61299788,126.9089174
서울특별시,은평구,37.60997237,126.9295333
서울특별시,은평구,37.62604567,126.9289395
서울특별시,은평구,37.63300437,126.9217255
서울특별시,은평구,37.61363087,126.9098752
서울특별시,은평구,37.58543677,126.9085149
서울특별시,은평구,37.64462051,126.9300865
서울특별시,은평구,37.602239,126.9132315
서울특별시,은평구,37.58840391,126.9186038
서울특별시,은평구,37.611026,126.929174
서울특별시,은평구,37.600581,126.921958
서울특별시,은평구,37.61717661,126.9059206
서울특별시,은평구,37.637515,126.9177904
서울특별시,은평구,37.59818739,126.9120947
서울특별시,은평구,37.5933429,126.9133437
서울특별시,은평구,37.6121646,126.919998
서울특별시,은평구,37.611389,126.927321
서울특별시,은평구,37.5907324,126.924523
서울특별시,은평구,37.6211896,126.9290475
서울특별시,은평구,37.61954385,126.9332431
서울특별시,은평구,37.60917058,126.9071921
서울특별시,은평구,37.60406763,126.914794
서울특별시,은평구,37.597677,126.9046048862
서울특별시,은평구,37.60349147,126.9321581
서울특별시,은평구,37.61104863,126.9084026
서울특별시,은평구,37.61105112,126.9084057
서울특별시,은평구,37.60507778,126.9085136
서울특별시,은평구,37.58798759,126.9205332
서울특별시,은평구,37.62408406,126.9251926
서울특별시,은평구,37.61357878,126.9202282
서울특별시,은평구,37.61246338,126.9261156
서울특별시,은평구,37.59759438,126.9168926
서울특별시,은평구,37.60323188,126.9272906
서울특별시,은평구,37.61789898,126.9238542
서울특별시,은평구,37.58426408,126.9044678
서울특별시,은평구,37.6342335,126.9266854
서울특별시,은평구,37.6342267,126.9266061
서울특별시,은평구,37.6390125,126.9186959
서울특별시,은평구,37.63448977,126.9190181
서울특별시,은평구,37.62952344,126.9301368
서울특별시,은평구,37.62066347,126.9247031788
서울특별시,은평구,37.61961705,126.9228401
서울특별시,은평구,37.61933885,126.9211102
서울특별시,은평구,37.60879855,126.9265632
서울특별시,은평구,37.60093764,126.9199717
서울특별시,은평구,37.58858075,126.9138709
서울특별시,은평구,37.58840547,126.9160053
서울특별시,은평구,37.59694549,126.9188663
서울특별시,은평구,37.5816542,126.9048558
서울특별시,은평구,37.62612523,126.9276676
서울특별시,은평구,37.618033,126.918187
서울특별시,은평구,37.61913445,126.9154328
서울특별시,은평구,37.60104548,126.9341043
서울특별시,은평구,37.612209,126.9321304
서울특별시,은평구,37.60997373,126.9139878
서울특별시,은평구,37.60540875,126.910488
서울특별시,은평구,37.61950535,126.9175505
서울특별시,은평구,37.61415704,126.9100768
서울특별시,은평구,37.593671,126.917791
서울특별시,은평구,37.63336308,126.9183396
서울특별시,은평구,37.59890333,126.9101334
서울특별시,은평구,37.58804666,126.9166582
서울특별시,은평구,37.5914802,126.917733
서울특별시,은평구,37.59780463,126.9078799
서울특별시,은평구,37.6034311,126.921604
서울특별시,은평구,37.60741702,126.9235818
서울특별시,은평구,37.6110097,126.9218438
서울특별시,은평구,37.61133444,126.9174463
서울특별시,은평구,37.61293665,126.9137026
서울특별시,은평구,37.59873518,126.9206563
